2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:05:22.5876 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:22.7592 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:22.9308 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:23.1024 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:23.7888 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:25.3488 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:25.5204 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:25.6920 Name is Story:15336 and newAssetOId is 
2014-11-28 16:05:25.8636 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:26.0352 Name is Story:15336 and newAssetOId is 
2014-11-28 16:05:26.2068 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:26.8640 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:28.4280 Name is Story:15336 and newAssetOId is 
2014-11-28 16:05:28.5996 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:28.7712 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:28.9428 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:29.1144 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:29.2860 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:30.2688 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:31.5480 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:31.7196 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:31.8912 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:32.0628 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:32.2344 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:32.4060 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:33.1236 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:34.6056 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:34.7772 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:34.9488 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:35.1204 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:35.2920 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:35.4636 Name is Story:15335 and newAssetOId is 
